"Country","Region","Prison population total (no. in penal institutions incl. pre-trial detainees)","Date","Estimated national population","Prison population rate (per 100,000 of national population)","Source of prison pop. total","Notes",
"Algeria","Northern Africa",60000,"5/13/2015",36960000,162,"NPA",,
"Egypt","Northern Africa","c. 66,000","/11",82500000,"c. 80","US State Dep’t human rights report",,
"Libya","Northern Africa",5328,"24/1/13",6550000,81,"NPA",,
"Morocco","Northern Africa",72000,"1/1/2013",32750000,220,"NPA",,
"Sudan","Northern Africa",20000,"/11",36000000,56,"US State Dep’t human rights report",,
"Tunisia","Northern Africa",21300,"/12",10700000,199,"NPA",,
"Benin","Western Africa",6908,"/10",9200000,75,"Ombudsman’s report, Benin",,
"Burkina Faso","Western Africa",4899,"31/12/12",17680000,28,"Ministry of Justice",,
"Cape Verde","Western Africa",1348,"/12",504000,267,"US State Dep’t human rights report",,
"Côte d’Ivoire","Western Africa",7086,"31/12/12",20800000,34,"US State Dep’t human rights report",,
"Gambia","Western Africa","c. 1,000","31/12/12",1800000,"c. 56","US State Dep’t human rights report",,
"Ghana","Western Africa",14021,"26/8/13",26180000,54,"NPA",,
"Guinea (Conakry)","Western Africa","c. 2,600","/12",10500000,"c. 25","US State Dep’t human rights report",,
"Liberia","Western Africa",1930,"/12",4200000,46,"NPA",,
"Mali","Western Africa",5817,"28/9/11",15940000,36,"US State Dep’t human rights report",,
"Mauritania","Western Africa",1602,"/12",3600000,45,"Ministry of Justice",,
"Niger","Western Africa",6899,"/12",16600000,42,"US State Dep’t human rights report",,
"Nigeria","Western Africa",54144,"31/5/13",169900000,32,"NPA",,
"Senegal","Western Africa",8428,"21/12/12",13250000,64,"NPA",,
"Sierra Leone","Western Africa",3281,"18/9/13",6280000,52,"NPA",,
"Togo","Western Africa",4060,"20/12/12",6350000,64,"US State Dep’t human rights report",,
"Angola","Central Africa",21634,"6/13/2015",20640000,105,"Ministry of the Interior",,
"Cameroon","Central Africa",24000,"12/11/2015",20200000,119,"US State Dep’t human rights report",,
"Central African Rep.","Central Africa",845,"11/11/2015",4500000,19,"US State Dep’t human rights report",,
"Chad","Central Africa",4831,"25/1/12",11700000,41,"NPA",,
"Congo (Brazzaville)","Central Africa","c. 1,300","31/12/12",4250000,"c. 31","US State Dep’t human rights report",,
"Dem. Rep. of Congo","Central Africa","c.22,000","/10",66000000,"c. 33","Joint Prison Coordination, D.R. Congo",,
"Equatorial Guinea","Central Africa","c. 650","/12",686000,"c. 95","US State Dep’t human rights report",,
"Gabon","Central Africa","c. 2,750","2/6/2015",1400000,"c. 196","US State Dep’t human rights report",,
"Sao Tome e Principe","Central Africa",217,"/12",169000,128,"US State Dep’t human rights report",,
"South Sudan","Central Africa","c. 7,000","4/13/2015",10700000,"c. 65","NPA",,
"Burundi","Eastern Africa",6477,"28/2/13",8950000,72,"NPA",,
"Comoros","Eastern Africa","c. 120","/12",773000,"c. 16","US State Dep’t human rights report",,
"Djibouti","Eastern Africa",750,"/11",906000,83,"US State Dep’t human rights report",,
"Ethiopia","Eastern Africa",112361,"10/1/2009",82420000,136,"Central Statistics Agency, Ethiopia",,
"Kenya","Eastern Africa",52000,"10/12/2015",42970000,121,"Legal Resources Foundation",,
"Madagascar","Eastern Africa",18507,"/12",21190000,87,"US State Dep’t human rights report",,
"Malawi","Eastern Africa",12236,"31/12/12",16050000,76,"NPA",,
"Mauritius","Eastern Africa",2663,"16/1/13",1320000,202,"NPA",,
"Mozambique","Eastern Africa",15249,"10/10/2015",23560000,65,"NPA",,
"Rwanda","Eastern Africa","55,618*","31/12/12",11300000,"492*","US State Dep’t human rights report","*The prison population includes many thousands sentenced or awaiting trial in connection with the genocide of 1994.",
